pr_gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PLCH1,226.467014768439,1.00467737550787,0.468515761857356,2.14438329998758,0.0320021872441023,0.244158678783575
PVR,1634.41691955504,0.748561928033645,0.33037785873474895,2.2657751064203198,0.0234651562828477,0.214781053196494
CYP27A1,1269.57126974282,-1.04266670967911,0.42559329515922495,-2.44991338336058,0.0142890583251392,0.16867405487089998
MTMR12,806.312011925516,-0.5633326741575749,0.240588652552636,-2.3414764918487903,0.0192076355375265,0.194688772801409
MTMR11,1593.1688861128698,1.2942616818865,0.522431534629312,2.47738047207437,0.0132350731137599,0.16209515535573701
CELSR3,403.92146653708,1.9499504655510802,0.641551105209592,3.03943123114727,0.0023702530910273897,0.065459027335013
IQSEC1,1847.7358572127398,-0.611068222466994,0.24281835414373498,-2.51656521032704,0.0118504968263374,0.15262304289786802
NEK2,187.868042346908,2.03195086743294,0.5652989378856039,3.5944714048695694,0.00032505084113613797,0.0244816069409542
SLC16A1,1031.0104828776,1.01465082937794,0.447241996452628,2.26868415181448,0.023287540041610003,0.21476693128902902
SLC16A5,573.174703040439,1.2723525455112399,0.5873598454577951,2.16622323665921,0.0302941323150608,0.24014892545071104
ARHGAP32,1519.6447993157801,1.11387230154383,0.36242069710781,3.0734235390880196,0.00211617909090192,0.0626815803328662
WIPF1,1744.7017146544101,-1.0401972910608899,0.42388890220311,-2.45393848636893,0.0141301150438158,0.167707417737743
LYVE1,163.793945554121,-1.808277343691,0.7409132261631569,-2.44060610586643,0.0146626378535954,0.171362287487908
CACNA1A,140.575222774488,1.7233738078743601,0.8027277464586959,2.14689702140878,0.0318014808089959,0.24344205836104396
TTN,179.383327837579,-1.3513057060132099,0.4251880738839389,-3.17813642718038,0.00148224987340722,0.0517290530077797
SLC31A2,367.273725410253,-0.942054923150808,0.382319030788702,-2.4640544866610603,0.0137375226366023,0.165306020222556
PPM1F,899.04079886106,-0.6812493055991771,0.251382277146093,-2.71001326479059,0.00672805173322535,0.11154767991191301
C4BPB,239.81824302526297,2.65505832536222,0.845531137367466,3.1401070972130696,0.00168886081377307,0.0552216752911625
CHEK1,153.792938284796,1.03970533202504,0.347253041901422,2.99408559917005,0.00275268705229788,0.0705135997233979
PAX6,346.602959436455,1.82473283472559,0.850483969020369,2.14552290365616,0.03191106219223701,0.243832572185547
GINS2,141.94834236629802,0.9517866541944859,0.43866012426165507,2.16975877576408,0.0300251248461597,0.239223689099782
ARRB2,902.795560471446,-0.9885196750646821,0.303291666726404,-3.2593037775627898,0.00111686009725291,0.0442700602059406
ADPRH,307.008271830457,-0.8743156706646751,0.31804728459813203,-2.7490115872846204,0.0059775273060573,0.10461563181921901
PILRA,200.960870990797,-1.23478510043457,0.507706656258998,-2.43208373420393,0.0150122363157336,0.173224644684643
DSG1,2.6935959439623702,3.2169213313977,1.44264283456156,2.22988064289342,0.0257553677924578,0.222955344584077
EXPH5,252.87364432695702,1.3460756983722701,0.39743986310794005,3.3868663496562497,0.0007069581847158281,0.0357003754940738
SPAG4,183.370829651652,1.7651729005833101,0.5873058819525699,3.00554269048827,0.00265107378704137,0.0687549066031382
FLI1,456.803073846843,-1.62519636398972,0.48182792604074104,-3.37298084265109,0.000743591260511167,0.0365971014798364
EPCAM,8689.90334252738,1.08544252535022,0.430878776299766,2.51913666918481,0.0117642983840275,0.152611691004075
PPP1CB,6215.6023236429,-0.5954198281580041,0.20668271903430105,-2.8808399218862,0.00396617019933705,0.0854400886186149
KLK12,6.90348235854681,4.57660956417877,2.10270546368258,2.17653382426824,0.0295153673314478,0.23789341588936802
KLK10,2489.13702119783,1.9889331076267498,0.9117466342134559,2.18145374273035,0.0291498722910213,0.236418476418297
KLK11,1179.63318100488,2.60099924185763,0.846996056916588,3.0708516534614505,0.00213449171902834,0.0631179229130126
GPR20,22.133228504878698,1.9300879450209298,0.8488731739027429,2.27370590137421,0.0229836751211299,0.21405705446069898
DENND3,944.0582594592199,-0.8059136923482929,0.291164300449885,-2.76790008631916,0.00564187490994752,0.101877462513233
PPP1R16B,396.651389361676,-2.24941196443905,0.61787459097832,-3.64056395469737,0.00027204152160387,0.022044807081944003
USH1C,1836.3070431222602,1.9013909084290501,0.5742653721558261,3.31099697216831,0.0009296421448242051,0.0393846470201485
CCNO,118.481351311187,1.3491285752406201,0.586086469915426,2.301927521779,0.021339259851608002,0.20541333763837402
IL1R2,578.3976247839939,2.48021423166695,0.895637436725588,2.76921679461559,0.0056191231751813895,0.101877462513233
LRRK1,518.625641455819,-0.750124136925163,0.349401154609353,-2.1468851119391297,0.031802429162334,0.24344205836104396
